video_id,title,published,views,likes,comments,duration
q_g_KrKftiw,Srivani had *Surgery* #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #siblings,2026-05-19T07:00:24Z,64709,0,220,PT48S
cZ6UQgLo92k,GRMG for office✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #grmw #office #diml #fypp,2026-05-18T06:59:25Z,355849,0,319,PT47S
Kn5D3h8YT9Y,Special guest in home✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #chicken #receipe #fy,2026-05-17T06:59:18Z,903572,0,228,PT45S
a591rTBidzg,Choose 1/2/3✨? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #couplevlog #funny,2026-05-16T07:00:03Z,458880,0,443,PT45S
vu2bquVSSmY,Isnt it special 🥹? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #travelvlog,2026-05-15T07:00:31Z,252405,0,222,PT45S
mkw-hRSEIH8,Deal not ACCEPTED😂 #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #vijayawada,2026-05-14T07:01:05Z,414792,0,255,PT43S
srX__SPjSoo,How’s the name✨? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #travelvlog #fyp,2026-05-13T06:59:30Z,920285,0,390,PT45S
eL-mvOxAmMo,Godavari boat shikaar✨ #shorts #shortsindia #telugu #teluguvlogs #godavari #shishacouple #travelvlog,2026-05-12T06:59:19Z,654514,0,475,PT49S
HsauASHm3ys,Sita-Ramulu🥹❤️ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #badrachalam #godavari #fyp,2026-05-11T06:59:25Z,756199,0,566,PT47S
ETLK37JxYkw,So here it is!!! #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #haircare,2026-05-10T11:01:49Z,170677,0,68,PT44S
4HqKpMCqG10,Guess the place & Film?✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #travelvlog #fypp,2026-05-10T07:04:15Z,677880,0,622,PT46S
mK7-nJBWTfw,Was it a good idea🙌? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #hometour #makeover,2026-04-28T06:59:30Z,660985,0,240,PT41S
iUawFGk3Aag,Chicken pulao & pickle receipe! #shorts #shortsindia #telugu #teluguvlogs #shishacouple #chicken #fy,2025-12-21T07:03:39Z,2266194,0,240,PT47S
XfYgQTSNVDw,I made chicken bbq😊 #shorts #shortsindia #telugu #teluguvlogs #shishacouple #travel #minivlog #fyp,2025-12-03T07:00:35Z,672002,0,183,PT44S
dqvDLxn9p_Q,Which state😁? #shorts #shortsindia #telugu #teluguvlogs #minivlog #miniseries #guest #shishacouple,2025-09-06T07:03:11Z,1108858,0,424,PT46S
8S5vX1BhVIY,Break from work😂 #shorts #shortsindia #telugu #minivlog #teluguvlogs #shisha #funny #love,2025-09-03T07:05:22Z,1714603,0,597,PT41S
08KipaXsVVg,Varalaxmi vratham pooja & preparations || Shisha & Family,2025-08-11T10:31:01Z,26030,0,86,PT8M53S
N2VcxAst8-Q,My dream jhumkis😍 #shorts #shortsindia #telugu #teluguvlogs #gold #goldshopping #jhumka #shisha #fy,2025-08-10T07:01:33Z,1220497,0,173,PT42S
b17bFHRLws0,Get ready for outing with inlaws😀❤️ #shorts #shortsindia #telugu #teluguvlogs #getreadywithme #fyp,2025-01-18T06:40:06Z,226972,0,115,PT53S
Gk8SS8m4IvY,What we ate in a day! #shorts #shortsindia #telugu #teluguvlogs #minivlog #whatieatinaday #foodie,2024-08-12T07:14:57Z,1009809,0,172,PT40S
P_5qO_u_f-Y,Crazy dayout✨ #shorts #shortsindia #telugu #teluguvlogs #trend #vlog #shisha #besties #vizag #beach,2024-05-24T08:40:17Z,471399,0,216,PT38S
kGIjTYfEj80,What time to post to get viral #shorts #shortsindia #telugu #teluguvlogs #vlog #trend #youtube #fyp,2024-04-20T06:46:57Z,228175,0,109,PT37S
FdNlA_8q1V4,Matching matching💜 #shorts #shortsindia #teluguvlogs #vlog #telugu #trend #ganeshchaturthi #styling,2023-09-19T07:26:18Z,485237,0,288,PT34S
krpneJo3Vl4,A useless vlog🤪 #shorts #shortsindia #vlog #teluguvlogs #telugu #trend #minivlog #diml #explore #fy,2023-08-26T09:14:35Z,747162,0,393,PT36S
A4nciCsv1sc,#dussera #naturalstarnani #keerthysuresh #youtube #youtubeshorts #shorts #trendingshorts #ugadi #fyp,2023-03-23T06:13:02Z,8736,0,0,PT8S
