video_id,title,published,views,likes,comments,duration,viral_score,rank,potential
iUawFGk3Aag,Chicken pulao & pickle receipe! #shorts #shortsindia #telugu #teluguvlogs #shishacouple #chicken #fy,2025-12-21T07:03:39Z,2266096,0,240,PT47S,2266816,1,🔥 High Potential
8S5vX1BhVIY,Break from work😂 #shorts #shortsindia #telugu #minivlog #teluguvlogs #shisha #funny #love,2025-09-03T07:05:22Z,1714603,0,597,PT41S,1716394,2,🔥 High Potential
N2VcxAst8-Q,My dream jhumkis😍 #shorts #shortsindia #telugu #teluguvlogs #gold #goldshopping #jhumka #shisha #fy,2025-08-10T07:01:33Z,1220273,0,173,PT42S,1220792,3,🔥 High Potential
dqvDLxn9p_Q,Which state😁? #shorts #shortsindia #telugu #teluguvlogs #minivlog #miniseries #guest #shishacouple,2025-09-06T07:03:11Z,1108856,0,424,PT46S,1110128,4,🔥 High Potential
srX__SPjSoo,How’s the name✨? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #travelvlog #fyp,2026-05-13T06:59:30Z,918494,0,389,PT45S,919661,5,🔥 High Potential
Kn5D3h8YT9Y,Special guest in home✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #chicken #receipe #fy,2026-05-17T06:59:18Z,873270,0,225,PT45S,873945,6,⚡ Medium Potential
HsauASHm3ys,Sita-Ramulu🥹❤️ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #badrachalam #godavari #fyp,2026-05-11T06:59:25Z,755475,0,566,PT47S,757173,7,⚡ Medium Potential
pl_Vg81lKVI,High protein rice bowl✨#shorts #shortsindia #telugu #teluguvlogs #receipe #shishacouple #minivlog,2026-05-09T07:02:10Z,687405,0,224,PT43S,688077,8,⚡ Medium Potential
4HqKpMCqG10,Guess the place & Film?✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #travelvlog #fypp,2026-05-10T07:04:15Z,677235,0,622,PT46S,679101,9,⚡ Medium Potential
XfYgQTSNVDw,I made chicken bbq😊 #shorts #shortsindia #telugu #teluguvlogs #shishacouple #travel #minivlog #fyp,2025-12-03T07:00:35Z,671999,0,183,PT44S,672548,10,⚡ Medium Potential
eL-mvOxAmMo,Godavari boat shikaar✨ #shorts #shortsindia #telugu #teluguvlogs #godavari #shishacouple #travelvlog,2026-05-12T06:59:19Z,653997,0,475,PT49S,655422,11,❄️ Low Potential
P_5qO_u_f-Y,Crazy dayout✨ #shorts #shortsindia #telugu #teluguvlogs #trend #vlog #shisha #besties #vizag #beach,2024-05-24T08:40:17Z,471399,0,216,PT38S,472047,12,❄️ Low Potential
a591rTBidzg,Choose 1/2/3✨? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #couplevlog #funny,2026-05-16T07:00:03Z,455878,0,438,PT45S,457192,13,❄️ Low Potential
mkw-hRSEIH8,Deal not ACCEPTED😂 #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #vijayawada,2026-05-14T07:01:05Z,413162,0,255,PT43S,413927,14,❄️ Low Potential
cZ6UQgLo92k,GRMG for office✨ #shorts #shortsindia #telugu #teluguvlogs #shishacouple #grmw #office #diml #fypp,2026-05-18T06:59:25Z,340257,0,301,PT47S,341160,15,❄️ Low Potential
vu2bquVSSmY,Isnt it special 🥹? #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #travelvlog,2026-05-15T07:00:31Z,250778,0,222,PT45S,251444,16,❄️ Low Potential
b17bFHRLws0,Get ready for outing with inlaws😀❤️ #shorts #shortsindia #telugu #teluguvlogs #getreadywithme #fyp,2025-01-18T06:40:06Z,226972,0,115,PT53S,227317,17,❄️ Low Potential
ETLK37JxYkw,So here it is!!! #shorts #shortsindia #telugu #teluguvlogs #shishacouple #minivlog #haircare,2026-05-10T11:01:49Z,170456,0,68,PT44S,170660,18,❄️ Low Potential
08KipaXsVVg,Varalaxmi vratham pooja & preparations || Shisha & Family,2025-08-11T10:31:01Z,26030,0,86,PT8M53S,26288,19,❄️ Low Potential
